market_constraint,dayzer_constraint,pano_constraint
ANTHONYT138 KV  ANT-LIN2,ANTHONYT_138 KV_ANT-LIN2:345/138.RobisonPark.T5,LINCOLN2 138KV - ANTHONYT 138KV (ANTHONYT 138 KV ANT-LIN2) 345/138.RobisonPark.T5
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:138/69.Haviland.T4 (Sctnlz),HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) 138/69.Haviland.T4 (Sctnlz)
MAHANSLA 138 KV MAHANS LANE-TIDD,CARNEGIE_138 KV_CAR-WEI:WEIRTON-MAHANS LANE 138 KV (APS),CARNEGIE-TIDD 138 KV        A  138 KV L38.Mahans Lane-Tidd
EVERTSUB115 KV  EVE-MAI,EVERTSUB_115 KV_EVE-MAI:L230.ETowanda-Hillside.2002 [NYISO],EVERTSUB 115KV - MAINESBG 115KV (EVERTSUB 115 KV EVE-MAI) L230.ETowanda-Hillside.2002 [NYISO]
GLENARM 115 KV GELNARM-WINDYEDGE2 110512,GLENARM_115 KV_GLE-WIN2:L230.Graceton-Bagley-RaphaelRoad.2305,GLENARM 115KV - WINDYEDG 115KV (GLENARM 115 KV GLE-WIN2) L230.Graceton-Bagley-RaphaelRoad.2305
WEFOSTOR138 KV WEF-02W1,WEFOSTOR_138 KV_WES-WOOD:L345.FostoriaCentral-Lemoyne,WEFOSTOR138 KV  WEF-02W1 L345.FostoriaCentral-Lemoyne
OLIVE   345 KV  2-P,OLIVE_138 KV_2-S:L345.Cook-Olive,OLIVE 1KV - OLIVE 345KV (OLIVE 345 KV 2-P) L345.Cook-Olive
NEWCARLI138 KV  NEW-NWN2,NEWCARLI_138 KV_NEW-NWN2:ACTUAL,NEWCARLI 138KV - NEWCARNI 138KV (NEWCARLI 138 KV NEW-NWN2) L138.Bosserman-Bosserni-NewCarlisle.Line1
08LAPLJT138 KV  08L-SAN1,08LAPLJT_138 KV_08L-SAN1:L765.Maliszewski-Marysville,08LAPLJT138 KV  08L-SAN1 L765.Maliszewski-Marysville
WILSON  138 KV  WIL-WMI2,WILSON_138 KV_WIL-WMI2:L500.Cabot-Keystone.5002,WILSON 138KV - WMIFFLIN 138KV (WILSON 138 KV WIL-WMI2) L500.Cabot-Keystone.5002
EVERTSUB-STROY EVE-STR A 115 KV,EVERTSUB_115 KV_EVE-STR:L230.ETowanda-Hillside.2002 [NYISO] + SPS.ESayre,STROY 115KV - EVERTSUB 115KV (EVERTSUB 115 KV EVE-STR) L230.ETowanda-Hillside.2002 [NYISO]
FACEROCK69 KV   FAROZBR,FACEROCK_69 KV_FAROZBR:L230.Graceton-Bagley-RaphaelRoad.2313,FACEROCK FAROZBR  SER DEV   A  69 KV L230.Graceton-Bagley-RaphaelRoad.2313
MANOR   69 KV   MAN-SAF3,MANOR_69 KV_MAN-SAF3:ACTUAL,SAFEHARB 69KV - MANOR 69KV (MANOR 69 KV MAN-SAF3) L230.OtterCrk-SafeHarbor-Manor.2302
HAVILAND138 KV HAV-TIM,HAVILAND_138 KV_HAV-TIM:765/345.Marysville.T2,TIMBERRD 138KV - HAVILAND 138KV (HAVILAND 138 KV HAV-TIM) 765/345.Marysville.T2
CHARLERO138 KV  CHA-YUK,CHARLERO_138 KV_CHA-YUK:L500.Cabot-Keystone.5002,YUKON 138KV - CHARLERO 138KV (CHARLERO 138 KV CHA-YUK) L500.Cabot-Keystone.5002
BARTONVI 138 KV BARTONVI-MEADOWBR MSW1,BARTONVI_138 KV_BAR-LONG:L500.BlackOak-Hatfield.542,BARTONVI-MEADOWBR MSW1      B  138 KV L500.Loudoun-Meadowbrook.5535
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,ATHENIA 230-CLIF PS 230,CEDARGRO-CLIF  B-2228-3 PS  A  230 KV L500.Hopatcong-Ramapo.5018
BOWIE 115 KV BOWIE-LANHAM 11505,BOWIE 115 KV BOW-LAN6 Lanham-Bowie 11505 Lanham-Wildercroft 11515 115,BOWIE   115 KV  BOW-LAN6 Lanham-Bowie 11505 & Lanham-Wildercroft 11515 115
20 BRAID 345 KV 20 BRAID-66 E FRN 2003,66 E FRN_345 KV_TR83CT-P:345L2002T S Braid-Davis Crk & Davis TR83 SPOG2-24,20 BRAID-66 E FRN 2001      A  345 KV L345.Braidwood-East Frankfort.2003
FACEROCK69 KV   FAC-MAN,FACEROCK_69 KV_FAC-MAN:L500.Conastone-PeachBottom.5012,FACEROCK 69KV - MANOR 69KV (FACEROCK 69 KV FAC-MAN) L500.Conastone-PeachBottom.5012
CLIN DUQ 138 KV CLINTON-FINDLAY Z-34,CLIN DUQ_138 KV_CLI-FIN:Collier - Clinton (DUQ) 345 KV LINE,CLIN DUQ 138KV - FINDLAY 138KV (CLIN DUQ 138 KV CLI-FIN) Collier - Clinton (DUQ) 345 KV LINE
FOSTER2 345 KV FOSTER2 11 XFORMER,FOSTER2_345 KV_11:ACTUAL,FOSTER2 345KV - FOSTER2 138KV (FOSTER2 345 KV 11) BASE
GARVER  345 KV  24,GARVER_345 KV_24:345/138.Todhunter.T16,GARVER 345KV - GARVER 138KV (GARVER 345 KV 24) 345/138.Todhunter.T16
RHODESLN500 KV  RHO-WMO,RHODESLN_500 KV_RHO-WMO:ACTUAL,WMORELND 500KV - RHODESLN 500KV (RHODESLN 500 KV RHO-WMO) BASE
EWAYNESB 138 KV EWAYNESB-RINGGOLD RWA1,EWAYNESB_138 KV_EWA-RIN:230/115/46.Lewistown.T2&T3,RINGGOLD 138KV - EWAYNESB 138KV (EWAYNESB 138 KV EWA-RIN) 230/115.Lewistown.T3
LINWDPE 230 KV  220-86,LINWDPE_230 KV_220-86:ACTUAL,LINWDPE 230 KV  220-86 BASE
11323   138 KV  11323 1,1 LASALL_138 KV_TR81CT-S:L345.Nelson-ElectricJunction.15502,11323 11323 1 SER DEV       A  138 KV L345.Nelson-ElectricJunction.15502
KLOPMNTP69 KV   35B,GLADYSDP_69 KV_35A:ACTUAL,KLOPMNTP69 KV   35B BASE
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:115/35.NorthMeshoppen.TR2,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1) 115/35.NorthMeshoppen.TR2
AEP-DOM,AEP-DOM contingency 20 Belews.U2302,TRANSFER INTERFACE: AEP-DOM Catawba.U2302
NEWCARLI 138 KV NEWCARLI-MAPLNIPS TIE,NEWCARLI_138 KV_NEW-MAP2:Reynolds-Olive 1 345 kV,NEWCARLI 138KV - MAPLNIPS 138KV (NEWCARLI 138 KV NEW-MAP2) Reynolds-Olive 1 345 kV
HIGHRIDG-SANDYSPR 2334 A 230 KV,HIGHRIDG_230 KV_HIG-SAN1:L230.Conastone-Northwest.2310,HIGHRIDG230 KV  HIG-HOW Conastone-Northwest (2310) 230 kV line
PLYWOOD 115 KV  151A,PLYWOOD_115 KV_151A:ACTUAL,SEDGEHIL 115KV - PLYWOOD 115KV (PLYWOOD 115 KV 151A) L500.Dooms-Lexington.555
MOUN UGI 230 KV MOUN UGI 2 XFORMER,MOUN UGI_230 KV_2:ACTUAL,MOUN UGI230 KV  2 Mountain XF3 (UGI) w/ 23030 closed
ETOWANDA230 KV  ETO-SCO,ETOWANDA_230 KV_ETO-SCO:L230.EastTowanda-Canyon-NMeshoppen,ETOWANDA 230KV - SCOTCHHO 230KV (ETOWANDA 230 KV ETO-SCO) L230.EastTowanda-Canyon-NMeshoppen
TRENTON2138 KV  TRE-COL1,TRENTON2_138 KV_TRE-COL1:765/345.Marysville.T2,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1) 765/345.Marysville.T2
120_LOMB_138KV120081_1_LN,120 LOMB_138 KV_12008 1:ACTUAL,120 LOMB 138KV - 12016 138KV (120 LOMB 138 KV 12016 1) BASE
FACEROCK_FAC69FAROZBR_1_LN,FACEROCK_69 KV_FAC-MAN:L500.Conastone-PeachBottom.5012,FACEROCK_FAC69FAROZBR_1_LN L500.Conastone-PeachBottom.5012
NORTHWOO_T1_2306BANK_XF,NORTHWOO_230 KV_6 BANK:L230.MartinsCreek-Portland.1008,NORTHWOO 230KV - NORTHWOO 115KV (NORTHWOO 230 KV 6 BANK) L230.MartinsCreek-Portland.1008
GOOSECRE500 KV  TX1,GOOSECRE_500 KV_TX1:L230.Shellhorn-Enterprise.2186,GOOSECRE 500KV - GOOSECRE 230KV (GOOSECRE 500 KV TX1) L230.Shellhorn-Enterprise.2186
FREMNT_138KVFRE-FRE1_1_LN,FREMNT_138 KV_FRE-WFR1:345/138.FostoriaCentral.T1,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1) 345/138.FostoriaCentral.T1
BRAMBLET-EVRGREEN 2172B     A   230 KV,BRAMBLET_230 KV_BRA-EVRG:L230.Belmont-CochranMill-GooseCreek,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG) L230.Belmont-CochranMill-GooseCreek
BAYS 138 KV BAY-WOL,BAYS_138 KV_BAY-WOL:L500.Cloverdale-Lexington.566,BAYS 138KV - WOLFRUN 138KV (BAYS 138 KV BAY-WOL) L500.Cloverdale-Lexington.566
COLLEGEC_138KVCOL-COL6_1_LN,COLLEGEC_138 KV_COL-COL6:ACTUAL,COLLEGEC138 KV  COL-COL6 TANNERS CREEK DEARBORN1 345KV LINE
AEP-DOM,AEP-DOM contingency BB:L765.Baker-Broadford,TRANSFER INTERFACE: AEP-DOM L765.Baker-Broadford
NRTHALEX230 KV  NRT-POTO,NRTHALEX_230 KV_NRT-POTO:L230.Ox-VirginiaHills.248B + SR1,NRTHALEX 230KV - POTOMACY 230KV (NRTHALEX 230 KV NRT-POTO) L230.Ox-VirginiaHills.248B + SR1
MAHANSLA 138 KV MAHANS LANE-TIDD,MAHANSLA_138 KV_MAH-TID:L345.Toronto-WylieRidge,MAHANS LANE-TIDD            B  138 KV L345.Sammis-Toronto
GOUDEY 115 KV GOUDEY-LAURLAKE115 KVTIE,GOUDEY_115 KV_GOU-LAU:L230.EastTowanda-Canyon-NMeshoppen,GOUDEY  115 KV  GOU-LAU L230.EastTowanda-Canyon-NMeshoppen
WEST CONTINGENCY 64,WEST contingency 30 Keystone.U2,WEST contingency 64 PeachBottom.U2
SMITHST 115 KV SMITHST-ZIONSVIE 977,SMITHST_115 KV_SMI-ZIO:L115.Jackson-JEBaker-Taxville.966 (Sctnlz),ZIONSVIE 115KV - SMITHST 115KV (SMITHST 115 KV SMI-ZIO) L115.Jackson-JEBaker-Taxville.966 (Sctnlz)
HAZELWOO 115 KV HAZELWOO-WINDYEDG 110506,HAZELWOO_115 KV_HAZ-WIN6:ACTUAL,WINDYEDG 115KV - HAZELWOO 115KV (HAZELWOO 115 KV HAZ-WIN6) Orchards-Center (110589) 115 kV line
ALLDAM6_138KVALL-KIT_1_LN,ALLDAM6_138 KV_ALL-KIT:345/138.Ashtabula.TR4,KITTANNI 138KV - ALLDAM6 138KV (ALLDAM6 138 KV ALL-KIT) 345/138.Ashtabula.TR4
GRACETON_230KVGRA-MANO_1_LN,GRACETON_230 KV_GRA-MANO:L500.Hunterstown-Conastone.5013+Cap,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO) L500.Hunterstown-Conastone.5013
PEACHBOT500 KV  1-P,PEACHBOT_500 KV_1-P:ACTUAL,50045005 PEACHBOT500 KV  205 CB  CB      OPEN    PEACHBOT500 KV  215 CB  CB      OPEN    ROCKSPRI500 KV  52-1
ERIES 345 KV ERIES NO8 TX XFORMER,ERIES_345 KV_NO8 TX:ACTUAL,ERIES 345KV - ERIES 230KV (ERIES 345 KV NO8 TX) L345.HomerCity-PierceBrook
FALCON  69 KV   FAL-20F1,FALCON_69 KV_FAL-20F1:ACTUAL,FALCON2 69KV - FALCON 69KV (FALCON 69 KV FAL-20F1) VirginiaCity.U1
LEESVILL_138KVLEE-SMI1_1_LN,LEESVILL_138 KV_LEE-SMI1:L765.Cloverdale-JoshuaFalls,SMITHMOU 138KV - LEESVILL 138KV (LEESVILL 138 KV LEE-SMI1) L765.Cloverdale-JoshuaFalls
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,ALLLUD4J_138 KV_ALJ-ALL:345/138.Ashtabula.TR4,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL) 345/138.Ashtabula.TR4
MAHOMET - OCB 1303 138 KV L/O LEGHORN-GOOSE CREEK 345 KV,WEEDMAN3_138 KV_1592 4:L345.GooseCreek-LegHorn [ILL_EQ],Mahomet - OCB 1303 138 kv l/o Leghorn-Goose Creek 345 kv L345.GooseCreek-LegHorn [ILL_EQ]
FACEROCK69 KV   FAROZBR,FACEROCK_69 KV_FAROZBR:500/230.Conastone.500-2,FACEROCK69 KV   FAROZBR 500/230.Conastone.500-2
BRIGHTON_T1_500NO.1TR_XF,ROXBURY_138 KV_NO2 TX:L500.Hunterstown-Conastone.5013,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.1TR) L500.Hunterstown-Conastone.5013
BUFFINGT345 KV 45,BUFFINGT_345 KV_45:ACTUAL,BUFFINGT 345KV - BUFFINGT 138KV (BUFFINGT 345 KV 45) BASE
PLYMOUTH 230 KV PLYMOUTH-WHITPAIN 220-13,PLYMOUTH_230 KV_PLY-WHI5:WHITPAIN-PLYMOUTH MEETING 220-13,PLYMOUTH-WHITPAIN 220-14    B  230 KV L230.Whitpain-PlymouthMeeting.220-13
EAST BEND - TERMINAL 345 KV L/O MARYSVILLE - SORENSON 765 KV,FOSTER2_345 KV_FOS-PIE1:L345.East Bend-Terminal,EBEND 345KV - TERMINAL 345KV (EBEND 345 KV EBE-TER1) L765.Marysville-Sorenson
KEWANEE - PUTNAM 138 KV L/O CORBIN - CRESCENTRIDGE 138 KV,74 KEWAN_138 KV_BTIE Z1:L138.Corbin-CrescentRidge.98105,74 KEWAN 138KV - KEWANEE 138KV (74 KEWAN 138 KV BTIE Z1) L138.Corbin-CrescentRidge.98105
NSEAFORD138 KV NSE-SHA,NSEAFORD_138 KV_NSE-SHA:L230.IndianRiver-Milford.23034,SHARRING 138KV - NSEAFORD 138KV (NSEAFORD 138 KV NSE-SHA) L230.IndianRiver-Milford.23034
EPALMERT_230KVEPA-HAR_1_LN,EPALMERT_230 KV_EPA-HAR:L500.Hopatcong-Lackawanna.5063,HARWOOD 230KV - EPALMERT 230KV (EPALMERT 230 KV EPA-HAR) L500.Hopatcong-Lackawanna.5063
BRAMBLET-EVRGREEN 2172B     A   230 KV,BRAMBLET_230 KV_BRA-EVRG:L230.Beaumead-Ashburn-PleasantView.274,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG) L230.Beaumead-Ashburn-PleasantView.274
HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,HARWOOD_230 KV_HAR-SUS:L230.Sunbury-Susquehanna,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS2) L230.Sunbury-Susquehanna
BRAMBLET230 KV  BRA-STON,PLEASNTV_230 KV_274D:L230.EvergreenMills-Brableton.2172,BRAMBLET230 KV  BRA-STON L230.EvergreenMills-Brableton.2172
EWAYNESB_138KVEWA-RIN_1_LN,EWAYNESB_138 KV_EWA-RIN:ACTUAL,RINGGOLD 138KV - EWAYNESB 138KV (EWAYNESB 138 KV EWA-RIN) L500.Bedington-Doubs
CLBHOUSE 230 KV CLBHOUSE TX1 XFORMER,CLBHOUSE_230 KV_TX1:L500.Carson-Rawlings.511,CLBHOUSE 115KV - CLBHOUSE 230KV (CLBHOUSE 230 KV TX1) L500.Carson-Rawlings.511
ETOWANDA 4 TX     XFORMER   H  230 KV,NMESHOPP_230 KV_4 TX:L230.ETowanda-Hillside.2002 [NYISO],NMESHOPP 230KV - NMESHOPP 115KV (NMESHOPP 230 KV 4 TX) L230.ETowanda-Hillside.2002 [NYISO]
FENTRES4230 KV  2128,FENTRES4_230 KV_2128:L500.Suffolk-Yadkin.565,THRASHER 230KV - FENTRES4 230KV (FENTRES4 230 KV 2128) L500.Suffolk-Yadkin.565
CROZET_230KV291B_1_LN,AQUAHAR_230 KV_AQU-GAR1:L500.Midlothian-NorthAnna.576,CROZET 230KV - BARRCKRD 230KV (CROZET 230 KV 291B) L500.Midlothian-NorthAnna.576
BRADFORD230 KV  BRA-DAL,BRADFORD_230 KV_BRA-DAL:L500.Conastone-PeachBottom.5012,BRADFORD 230KV - DALESVIL 230KV (BRADFORD 230 KV BRA-DAL) L500.Conastone-PeachBottom.5012
ALLENIM 345 KV  ALL-RPM,ALLENIM_345 KV_ALL-RPM:L765.Jefferson-Rockport,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM) L765.Jefferson-Rockport
DIXONVIL115 KV DIX-GLO,DIXONVIL_115 KV_DIX-GLO:L500.SouthBend-Yukon,GLORY 115KV - DIXONVIL 115KV (DIXONVIL 115 KV DIX-GLO) L500.SouthBend-Yukon
DICKERSH_230KVDIC-DIC4_1_LN,DICKERSH_230 KV_DIC-DIC4:L500.Doubs-GooseCreek.514,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC4) L500.Doubs-GooseCreek.514
YUKON    Y2           CB       138 KV,KRENDALE_138 KV_KRE-SEN:500/138.Cabot.T2&T4 (Sctnlz F),YUKON    Y2           CB       138 KV 500/138.Yukon.T2 & T4 (Sctnlz F)
BUCKSKIN69 KV   BUC-GRE1,BUCKSKIN_69 KV_BUC-GRE1:ACTUAL,BUCKSKIN 69KV - GREENFIE 69KV (BUCKSKIN 69 KV BUC-GRE1) BASE
SAXTON-THREESPR 2K 1062 A 115 KV,SAXTON_115 KV_SAX-SNA:ACTUAL,SAXTON-THREESPR 2K 1062     A  115 KV L500.Brighton-Conastone
HOPEWEL4230 KV  228A,HOPEWEL4_230 KV_228A:L230.Chesterfield-Basin.259,HOPEWEL4 230KV - CHESTER4 230KV (HOPEWEL4 230 KV 228A) L230.Chesterfield-Basin.259
BRIGHTON230 KV  BRI-MTZ5,BRIGHTON_230 KV_BRI-MTZ5:L500.BurchesHill-PossumPoint.560,BRIGHTON 230KV - MTZION 230KV (BRIGHTON 230 KV BRI-MTZ5) L500.BurchesHill-PossumPoint.560
WMILTON 345 KV  BK-E,WMILTON_345 KV_BK-E:345/138.WestMilton.BK-W,WMILTON 345KV - WMILTON 138KV (WMILTON 345 KV BK-E) 345/138.WestMilton.BK-W (Future)
CHALKPT 230 KV  T3,CHALKPT_230 KV_T3:ACTUAL,CHALKPT 230KV - CHALKPT 69KV (CHALKPT 230 KV T3) BASE
GARDNERS 115 KV GARDNERS-MOUN ME 974,JACK ME_115 KV_JAC-NHA:L115.MiddletownJct-Collins.975 (Sctnlz),GARDNERS 115KV - MOUN ME 115KV (GARDNERS 115 KV GAR-MOU) L115.MiddletownJct-Collins.975 (Sctnlz)
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,CHARLTSV_230 KV_2054B1:L500.Midlothian-NorthAnna.576,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1) L500.Midlothian-NorthAnna.576
SALTSPRG 138 KV SALTSPRG-MASURY,SALTSPRG_138 KV_SAL-MAS1:L345.Hanna-Juniper,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1) L345.Hanna-Juniper
HOOVERSV 115 KV HOOVERSV-TOWER51 H1H2 1071,HOOVERSV_115 KV_HOO-TOW:L230.Johnstown-Seward.2018,TOWER51 115KV - HOOVERSV 115KV (HOOVERSV 115 KV HOO-TOW) L230.Johnstown-Seward.2018
CRANBERY138 KV  CRA-JAC,CRANBERY_138 KV_CRA-JAC:ACTUAL,CRANBERY 138KV - JACKSNOE 138KV (CRANBERY 138 KV CRA-JAC) L345.Hoytdale-Mansfield
EDGEWOOD 115 KV EDGEWOOD-SHELOCTA LSH 1036,EDGEWOOD_115 KV_EDG-SHE:L345.ErieWest-Ashtabula-Perry,SHELOCTA 115KV - EDGEWOOD 115KV (EDGEWOOD 115 KV EDG-SHE) L345.ErieWest-Ashtabula-Perry
ELMONT4 500 KV ELMONT4 TX1 XFORMER,ELMONT4_500 KV_TX1:L500.Midlothian-NorthAnna.576,ELMONT4 230KV - ELMONT4 500KV (ELMONT4 500 KV TX1) L500.Midlothian-NorthAnna.576
MAYWOOD_230KVMAY-SAD_1_LN,MAYWOOD_230 KV_MAY-SAD:ACTUAL,MAYWOOD 230 KV  MAY-SAD Bergen #2 (2001 STM/2101 CT1/2202 CT2)
BRUNSWIC230 KV  BRU-MEA,BRUNSWIC_230 KV_BRU-MEA:L230.Roseland-Whippany.A-941,BRUNSWIC 230KV - MEADOWRD 230KV (BRUNSWIC 230 KV BRU-MEA) L230.Roseland-Whippany.A-941
COLORA_230KVCOL-CON2_1_LN,COLORA_230 KV_COL-CON2:L230.Conowingo-Nottingham-220-03,CONOWING 230KV - COLORA 230KV (COLORA 230 KV COL-CON2) L230.Conowingo-Nottingham-220-03
BATTLEBO115 KV  1014A,BATTLEBO_115 KV_1014A:ACTUAL,HATHAWAY 115KV - BATTLEBO 115KV (BATTLEBO 115 KV 1014A) L115.Tarboro-Tarboro5-MorsbgDP-TarRiverTap.55
SPOTSLV 500 KV  T1,SPOTSLV_500 KV_T1:ACTUAL,SPOTSLV 34.5KV - SPOTSLV 500KV (SPOTSLV 500 KV T1) BASE
MIAMIFORT XF9 345/138 KV L/O MIAMIFORT XF10 345/138 KV,MIAMIFOR_345 KV_9:345/138.MiamiFort.T10,MIAMIFOR 345KV - MIAMIFOR 138KV (MIAMIFOR 345 KV 9) 345/138.MiamiFort.T10
PRUNTYTO 138 KV PRUNTYTO-UNIONRD 16,GLENFALL138 KV GLE-NAT LOUGHSLA-BELINGTO-UNIONRD-PRUNTYTO (APS),PRUNTYTO 138KV - UNIONRD 138KV (PRUNTYTO 138 KV PRU-UNI) BASE
81 TOULO138 KV  7421,81 TOULO_138 KV_7421:ACTUAL,81 TOULO 138KV - 3 POWERT 138KV (81 TOULO 138 KV 0321X) L138.Kewanee-Toulon.7421
BERWICK 69 KV BERWICK-KOONSVIL,HANOVER_69 KV_HAN-PLY:230/69.Mountain.T3(UGI) w/ 23030 closed,BERWICK-KOONSVIL            A  69 KV 230/69.Mountain.T3(UGI)
SAWMILL 138 KV  SAW-DUB1,SAWMILL_138 KV_SAW-DUB1:L345.Beatty-Cole,SAWMILL 138KV - DUBLIN 138KV (SAWMILL 138 KV SAW-DUB1) L345.Beatty-Cole
VOLUNTEER-PHIPPS BEND 500 KV L/O CONASAUGA-MOSTELLER 500 KV,PHIPPB_500 KV_32200A:Mosteller - Conasauga 500 kV,Volunteer-Phipps Bend 500 l/o Conasauga-Mosteller 500 Conasauga-Mosteller 500
HYATTCS_345KVMAR-HYA2_1_LN,HYATTCS_345 KV_MAR-HYA2:L345.Marysville-Tangy(OE),MARYSVI2 345KV - HYATTCS 345KV (HYATTCS 345 KV MAR-HYA2) L345.Marysville-Tangy(OE)
KENNY   138 KV  KEN-ROB1,KENNY_138 KV_KEN-ROB1:L765.Maliszewski-Marysville,ROBERTS2 138KV - KENNY 138KV (KENNY 138 KV KEN-ROB1) L765.Maliszewski-Marysville
PRES - TIBBS 138KV L/O NEWBOURBON - SMNY 138KV,PRES_138 KV_PRE-TIBB:NewBourbon - SMNY 138kV,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB) NewBourbon - SMNY 138kV
GRIFFIN4 138 KV GRIFFIN4-02PVALEY,02HAMLTN_138 KV_02H-HOR1:345/138.Inland.4,LAKVEW-GREENFOE             A  138 KV TEMP.345/4.DavisBesse.TR02.StationService 1BUSoos
EDGEWATE_138KVEDG-LOY_1_LN,EDGEWATE_138 KV_EDG-LOY:L500.South Bend-Yukon,LOYALHAN 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-LOY) L500.SouthBend-Yukon
08WLDER1138 KV  08W-PIE1,08WLDER1_138 KV_08W-PIE1:L345.TannersCreek-MiamiFort,BECKJORD 138KV - 08WLDER1 138KV (08WLDER1 138 KV 08W-PIE1) L345.TannersCreek-MiamiFort
NEWTON 2 TR 345/138 KV L/O CASEY-NEWTON 345 KV,NEWTON 3_345 KV_TR2:Newton-Casey 345 kV,Newton 345/138 TR2 l/o Newton-Casey 345 L345.Newton-Casey (Ameren)
ANGELBRA_138KVANG-HOP1_1_LN,ANGELBRA_138 KV_ANG-HOP1:L765.Baker-Broadford,ANGELBRA 138KV - HOPKINS 138KV (ANGELBRA 138 KV ANG-HOP1) L765.Baker-Broadford
MILLBROO138 KV  MIL-SPO1,MILLBROO_138 KV_MIL-SPO1:ACTUAL,SPOINT 138KV - MILLBROO 138KV (MILLBROO 138 KV MIL-SPO1) L138.Gavin-FireBrick
MALISZEW_138KVMAL-GEN1_1_LN,MALISZEW_138 KV_MAL-HYA1:L138.Maliszewski-HyattCS.2,MALISZEW 138KV - GENOA 138KV (MALISZEW 138 KV MAL-GEN1) L138.Maliszewski-HyattCS.2
BERYL   138 KV  BER-MTZ,BERYL_138 KV_BER-MTZ:L500.Bismark-Doubs,MTZI APS 138KV - BERYL 138KV (BERYL 138 KV BER-MTZ) L500.Bismark-Doubs
CHICAGO - USSTOCKTON 138KV L/O WILTON CENTER - DUMONT 765KV,MAHANSLA_138 KV_MAH-TID:L765.Dumont-Wilton Center.11215,CHIC_AVE 138KV - PRAXAIR3 138KV (CHIC_AVE 138 KV CHI-PRA2) Dumont-Wilton Center 765kV
EDELPHOS69 KV   EDE-NDE,EDELPHOS_69 KV_EDE-NDE:L138.AllenIM-Logtown,NDELPHOS 69KV - EDELPHOS 69KV (EDELPHOS 69 KV EDE-NDE) L138.AllenIM-Logtown
IDYLWOO4-CLARK4 202A L/O 2035,IDYLWOO4_230 KV_202A:L230.Idylwood-Redfield-CIA.2035,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A) L230.Idylwood-Redfield-CIA.2035
STILLWELL 345/138 KV XFMR 1 L/O WILTON CENTER - DUMONT 765 KV,DUMONT2_345 KV_DUM-STI1:Wilton Center 765/345 xfmr TR93,RISING 345/138 KV XFMR 1 L/O WILTON CENTER-DUMONT 765 KV LINE    765 KV  DUM-WIL1CMPLINE DUMMY
MOSELEY 138 KV MOSELEY-ROANOKE,MOSELEY_138 KV_MOS-ROA1:L765.Jacksons Ferry -Cloverdale + 138 kV L CB,ROANOKE 138KV - MOSELEY 138KV (MOSELEY 138 KV MOS-ROA1) L765.Cloverdale-JoshuaFalls
ATLNTCDP230 KV  2161C,ATLNTCDP_230 KV_2161C:L230.Gainesville-Railroad.2151,GAINESVL 230KV - ATLNTCDP 230KV (ATLNTCDP 230 KV 2161C) L230.Gainesville-Railroad.2151
ALBRIGHT 138 KV ALBRIGHT-GARRETT,GARRETT_138 KV_TRAN 2:L500.Black Oak-Hatfield,ALBRIGHT 138KV - GARRETT 138KV (ALBRIGHT 138 KV ALB-GAR) L500.BlackOak-Hatfield
CAVESPRI138 KV  CAV-HAN1,CAVESPRI_138 KV_CAV-HAN1:L345.Cloverdale-MattFunk,HANCOCK 138KV - CAVESPRI 138KV (CAVESPRI 138 KV CAV-HAN1) L345.Cloverdale-MattFunk
CANALAEP138 KV  CAN-MOU1,CANALAEP_138 KV_CAN-MOU1:ACTUAL,CANALAEP 138KV - MOUND 138KV (CANALAEP 138 KV CAN-MOU1) L138.Marion.52AB
HUNTERST230 KV  REACT,HUNTERST_230 KV_REACT:L500.Hunterstown-Conastone.5013,HUNTERST230 KV  REACT L500.Hunterstown-Conastone.5013
